Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.000000,-119.000000,0.000000,top
"C2","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.000000,-117.000000,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.000000,-115.000000,0.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.000000,-113.000000,0.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.962500,-122.000000,180.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.500000,-110.000000,90.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.250000,-124.250000,-90.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.500000,-109.750000,90.000000,top
"C9","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.750000,-108.750000,0.000000,top
"C10","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.750000,-106.500000,0.000000,top
"C11","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.200000,-101.637500,0.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",170.100000,-141.050000,0.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.500000,-140.800000,0.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",112.250000,-97.000000,90.000000,top
"C15","33pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.000000,-123.500000,0.000000,top
"C16","33pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",144.750000,-123.500000,180.000000,top
"D1","LED - Green","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.500000,-97.500000,90.000000,top
"D2","LED - Red","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",153.500000,-97.500000,-90.000000,top
"FB1","~","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",153.000000,-111.000000,0.000000,top
"IC1-L1","ICS-43432","ICS43432",165.600000,-139.050000,-90.000000,top
"IC2-R1","ICS-43432","ICS43432",121.000000,-139.050000,-90.000000,top
"J1","SWD_CONN","PinHeader_2x03_P2.54mm_Vertical",121.540000,-95.725000,-90.000000,top
"J2","Conn_02x10_Counter_Clockwise","PinHeader_2x10_P2.54mm_Vertical",107.000000,-106.130000,0.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",144.650000,-95.400000,180.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.000000,-102.500000,90.000000,top
"R2","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.495000,-97.545000,90.000000,top
"R3","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.500000,-102.500000,-90.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.250000,-97.500000,90.000000,top
"R5","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.250000,-118.000000,90.000000,top
"R6","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.000000,-118.000000,90.000000,top
"SW2","SW_DPST_x2","SW_PUSH_6mm",127.750000,-95.750000,0.000000,top
"U1","STM32G473CBTx","LQFP-48_7x7mm_P0.5mm",145.000000,-117.000000,90.000000,top
"U2","AP2112K-3.3","SOT-23-5",153.700000,-105.137500,-90.000000,top
"U3","USBLC6-2SC6","SOT-23-6",143.987500,-103.100000,90.000000,top
"Y1","ABMM2-24.000MHZ-E2-T","ABMM2",146.750000,-126.750000,180.000000,top
