Designator,Mid X,Mid Y,Layer,Rotation
C1,153,-119,top,0
C2,153,-117,top,0
C3,153,-115,top,0
C4,153,-113,top,0
C5,137.9625,-122,top,180
C6,140.5,-110,top,90
C7,141.25,-124.25,top,-90
C8,149.5,-109.75,top,90
C9,157.75,-108.75,top,0
C10,157.75,-106.5,top,0
C11,156.2,-101.6375,top,0
C14,112.25,-97,top,90
C15,144.25,-126.25,top,0
D2,153.5,-97.5,top,-90
FB1,153,-111,top,0
J1,121.54,-95.725,top,-90
J2,107,-106.13,top,0
P1,147.65,-98.85,top,180
R1,151,-102.5,top,90
R3,148.5,-102.5,top,-90
R4,156.25,-97.5,top,90
R5,134.25,-118,top,90
R6,132,-118,top,90
SW2,127.75,-95.75,top,0
U1,145,-117,top,90
U2,153.7,-105.1375,top,-90
U3,145.1,-102.6,top,90
Y2,144,-123.75,top,0
